,,,Min_Tensile,Min_Yield,40,65,100,125,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900
MATERIAL,P-No.,Group No.,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa
SA–533-D CL.1,3,3,550,345,158,158,158,158,158,158,158,158,158,158,158, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-D CL.2,3,3,620,485,177,177,177,177,177,177,177,177,177,177,177,177,177,177, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-D CL.3, 11A ,4,690,570,197,197,197,197,197,197,197,197,197,197,197,197, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-E CL.1,3,3,550,345,158,158,158,158,158,158,158,158,158,158,158,158,158,158, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-E CL.2,3,3,620,485,177,177,177,177,177,177,177,177,177,177,177,177,177,177, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.1 (≤65),1,2,485,345,138,138,138,137,136,134,134,134,134,133,125, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.1 (65 < t ≤ 100),1,2,450,310,128,128,128,128,128,128,128,128,128,127,114, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.2 (≤65),1,3,550,415,158,158,158,157,156,154,154,154,154,151,132, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.2 (100 < t ≤ 150),1,3,485,315,138,138,138,137,136,134,134,134,134,133,125, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.2 (65 < t ≤ 100),1,3,515,380,148,148,147,147,145,144,144,144,144,143,134, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.3 (≤65),1,3,550,380,158,158,158,157,156,154,154,154,154,151,132, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.3 (100 < t ≤ 150),1,3,485,275,138,138,138,137,136,135,131,126,123,121,118, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–537 CL.3 (65 < t ≤ 100),1,3,515,345,148,148,147,147,145,144,144,144,144,142,123, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–542-B CL.4, 5C ,1,585,380,168,168,168,168,168,168,165,161,160,159,158,156,151,142,133, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–542-C CL.4a, 5C ,1,585,415,168,168,167,164,161,156,154,151,150,149,147,145,144,141,139,136, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–542-D CL.4a, 5C ,1,585,415,168,168,168,168,168,168,168,165,162,159,157,153,149,145,141,137, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–542-E CL.4a, 5C ,1,585,415,168,168,167,164,161,156,154,151,150,149,147,145,144,141,139,136, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
